Tipo: ENVIO | Node: RSU_100001 | MsgID: 908376 | Tempo: 21680.1
Tipo: RECEBIMENTO | Node: 36 | MsgID: 912176 | Tempo: 21680.2
Tipo: RECEBIMENTO | Node: 24 | MsgID: 913188 | Tempo: 21680.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 935284 | Tempo: 21681.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 937296 | Tempo: 21681.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 962361 | Tempo: 21682.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 967569 | Tempo: 21682.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 990174 | Tempo: 21683.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 992204 | Tempo: 21683.2
Tipo: RECEBIMENTO | Node: 23 | MsgID: 993793 | Tempo: 21683.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1018092 | Tempo: 21684.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 1021681 | Tempo: 21684.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1047273 | Tempo: 21685.1
Tipo: RECEBIMENTO | Node: 35 | MsgID: 1052494 | Tempo: 21685.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1076571 | Tempo: 21686.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 1081893 | Tempo: 21686.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1106838 | Tempo: 21687.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 1111214 | Tempo: 21687.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1137229 | Tempo: 21688.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1167414 | Tempo: 21689.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 1171605 | Tempo: 21689.2
Tipo: RECEBIMENTO | Node: 24 | MsgID: 1172810 | Tempo: 21689.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1197709 | Tempo: 21690.1
Tipo: RECEBIMENTO | Node: 36 | MsgID: 1202000 | Tempo: 21690.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1228135 | Tempo: 21691.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1259193 | Tempo: 21692.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 1265066 | Tempo: 21692.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1290300 | Tempo: 21693.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 1294529 | Tempo: 21693.2
Tipo: RECEBIMENTO | Node: 24 | MsgID: 1295760 | Tempo: 21693.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1321499 | Tempo: 21694.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 1323857 | Tempo: 21694.2
Tipo: RECEBIMENTO | Node: 23 | MsgID: 1325639 | Tempo: 21694.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1353728 | Tempo: 21695.1
Tipo: RECEBIMENTO | Node: 23 | MsgID: 1357964 | Tempo: 21695.2
Tipo: RECEBIMENTO | Node: 36 | MsgID: 1358452 | Tempo: 21695.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1386971 | Tempo: 21696.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1420075 | Tempo: 21697.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 1426254 | Tempo: 21697.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1453419 | Tempo: 21698.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1488707 | Tempo: 21699.1
Tipo: RECEBIMENTO | Node: 24 | MsgID: 1495349 | Tempo: 21699.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1525961 | Tempo: 21700.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1563274 | Tempo: 21701.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 1568594 | Tempo: 21701.2
Tipo: RECEBIMENTO | Node: 35 | MsgID: 1570126 | Tempo: 21701.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1600834 | Tempo: 21702.1
Tipo: RECEBIMENTO | Node: 29 | MsgID: 1603573 | Tempo: 21702.2
Tipo: RECEBIMENTO | Node: 35 | MsgID: 1607516 | Tempo: 21702.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1638244 | Tempo: 21703.1
